Ranking,User,Model,Results,Mean Reward,Std Reward
405,Closen,Closen/dqn-LunarLander-v2,272.49,290.21,17.72
406,execbat,execbat/ppo-LunarLander-v2-unit-8,272.43,284.87,12.44
407,Basharnashef,Basharnashef/ppo-LunarLander-v2,272.43,293.45,21.02
408,kkewat,kkewat/ppo-LunarLander-v2,272.40000000000003,290.04,17.64
409,dganesh,dganesh/ppo-LunarLander-v2,272.38,291.18,18.8
410,Mudryi,Mudryi/ppo-LunarLander-v2,272.37,290.04,17.67
411,NicolasNP,NicolasNP/ppo-LunarLander-v2_v2,272.34000000000003,285.37,13.03
412,Nikhil058,Nikhil058/RL-data,272.34,286.32,13.98
413,HusseinEid,HusseinEid/ppo-LunarLander-v2,272.32000000000005,292.16,19.84
414,Abhinay45,Abhinay45/LunarLander-v2,272.32000000000005,292.16,19.84
415,gsalmon,gsalmon/ppo-LunarLander-v2,272.32,284.26,11.94
416,barfield2256,barfield2256/ppo-LunarLander-v2,272.24,293.46,21.22
417,joeyc,joeyc/ppo-LunarLander-v2,272.23999999999995,290.53,18.29
418,gflexx,gflexx/ppo-LunarLander-v2,272.23,287.36,15.13
419,tulioResende,tulioResende/ppo-LunarLander-v2,272.22999999999996,290.14,17.91
420,parallelq,parallelq/ppo-LunarLander-v2,272.21999999999997,292.45,20.23
421,veronica-girolimetti,veronica-girolimetti/ppo-LunarLander-v2,272.21000000000004,288.6,16.39
422,Yann2310,Yann2310/amazigh_warior,272.19,291.52,19.33
423,JunH3ng,JunH3ng/ppo-LunarLander-v2,272.19,287.6,15.41
424,Leevroko,Leevroko/ppo-LunarLander-v2,272.14,295.0,22.86
425,Cee314,Cee314/ppo-LunarLander-v2,272.13000000000005,285.41,13.28
426,DisposableTmep,DisposableTmep/LunarLander-v2,272.13,287.74,15.61
427,miki030,miki030/ppo-LunarLander-orig,272.12,292.11,19.99
428,Witthawin,Witthawin/TEST2ppo-LunarLander-v2,272.12,284.45,12.33
429,Giraudet,Giraudet/ppo-LunarLander-v2-4,272.07,285.13,13.06
430,KelvinHu,KelvinHu/ppo-LunarLander-v2,272.06,295.04,22.98
431,ryanblak,ryanblak/PPO-LunarLander-v2,272.04,287.72,15.68
432,MorganWKen,MorganWKen/ppo-LunarLander-v9,272.01,286.45,14.44
433,cuckookernel,cuckookernel/hf-deep-rl-course-unit-1,271.95000000000005,278.91,6.96
434,gregtozzi,gregtozzi/ppo-LunarLander-v2-2,271.95,288.74,16.79
435,Litux,Litux/ppo-LunarLander-v2.1,271.93,291.5,19.57
436,thorirhrafn,thorirhrafn/PPO_LunarLander-v2,271.91,285.29,13.38
437,DContrerasF,DContrerasF/ppo-LunarLander-v2,271.90999999999997,292.08,20.17
438,varunshetty,varunshetty/ppo-LunarLander-v2,271.90000000000003,291.74,19.84
439,wayandadang,wayandadang/ppo-LunarLander-v2,271.89,287.56,15.67
440,mustious7,mustious7/lunar_lander_ppo,271.88,286.02,14.14
441,gadhane,gadhane/ppo-LunarLander-v2,271.87,286.42,14.55
442,lesliepzimmermann,lesliepzimmermann/ppo-LunarLander-v2,271.82,286.43,14.61
443,SheezZarR,SheezZarR/PPO-LunarLander-v2-2mil,271.81,284.62,12.81
444,Esteban00007,Esteban00007/ppo-LunarLander-v2,271.81,292.42,20.61
445,nimakha,nimakha/ppo-LunarLander-v2-clipsched,271.79,289.49,17.7
446,Klookick,Klookick/ppo-LunarLander-v2,271.76,282.42,10.66
447,phihung,phihung/ppo-LunarLander-v2,271.73,285.81,14.08
448,FollishBoi,FollishBoi/ppo-LunarLander-v2-try4,271.72999999999996,289.14,17.41
449,PhuocBui,PhuocBui/ppo-LunarLander-v2,271.70000000000005,291.16,19.46
450,lazyrama,lazyrama/ppo-LunarLander-v2,271.7,290.28,18.58
451,RaphaelReinauer,RaphaelReinauer/TEST-6-LunarLander-v2,271.67,286.74,15.07
452,vkost,vkost/TEST2ppo-LunarLander-v3,271.60999999999996,289.28,17.67
453,tittuvmathew,tittuvmathew/ppo-LunarLander-v2,271.59999999999997,287.01,15.41
454,pelemanov,pelemanov/ppo3-LunarLander-v2,271.59,290.52,18.93
455,eolang,eolang/DRL-PPO-LunarLanderv2,271.56,290.69,19.13
456,77qq,77qq/RLcourses,271.56,282.3,10.74
457,rhsaeedy,rhsaeedy/PPO-Lunarlander-v3,271.55999999999995,289.03,17.47
458,raghuvamsidhar,raghuvamsidhar/ppo-LunarLander-v2,271.55,284.82,13.27
459,arhamh,arhamh/ppo2-LunarLander-v2,271.55,285.66,14.11
460,anasselhoud,anasselhoud/ppo-V1-LunarLander,271.48,287.31,15.83
461,poiug07,poiug07/PPO-LunarLander-v2,271.46000000000004,286.55,15.09
462,schirmacher,schirmacher/ppo-LunarLander-v2,271.46,286.87,15.41
463,CadenJarausch,CadenJarausch/LunarLander-v2,271.46,292.12,20.66
464,gael1130,gael1130/ppo-LunarLander-v2-12_april,271.41,287.5,16.09
465,feabries,feabries/ppo-LunarLander-v2,271.40999999999997,285.64,14.23
466,Hamin97,Hamin97/ppo-LunarLander-v2,271.36,286.14,14.78
467,hossainzarif,hossainzarif/ppo-LunarLander-v2,271.35,286.37,15.02
468,AndyPig,AndyPig/ppo-LunarLander-v2,271.35,290.81,19.46
469,anahoret,anahoret/ppo-LunarLander-best,271.31,289.89,18.58
470,pedroroblesduten,pedroroblesduten/ppo-LunarLander-v2,271.3,286.94,15.64
471,felix-halim,felix-halim/ppo-LunarLander-v2,271.28999999999996,280.83,9.54
472,nemanjar,nemanjar/ppo-LunarLander-v2,271.28000000000003,287.8,16.52
473,Rahulputhukkot,Rahulputhukkot/LunarLander-PPO,271.28000000000003,287.43,16.15
474,leoleung93,leoleung93/ppo-LunarLander-v2,271.27000000000004,284.97,13.7
475,expilu,expilu/ppo-LunarLander-v2,271.26000000000005,293.91,22.65
476,thiagoms7,thiagoms7/lunarlander,271.24,290.36,19.12
477,Forkits,Forkits/ppo-LunarLander-v2,271.24,287.81,16.57
478,JamesOwers,JamesOwers/ppo-LunarLander-v2,271.23,289.95,18.72
479,bartpotrykus,bartpotrykus/lunar-lander-v2,271.22999999999996,289.21,17.98
480,Klaatu2001,Klaatu2001/ppo-LunarLander-v2,271.15999999999997,288.96,17.8
481,Corianas,Corianas/ppo_lstm-LunarLander-v2.loadbest_,271.12,289.02,17.9
482,MetaAnomie,MetaAnomie/ppo-LunarLander-v2,271.09000000000003,279.24,8.15
483,nulltwo,nulltwo/lab4,271.07,287.25,16.18
484,tomTs,tomTs/ppo-LunarLander-v2,271.04999999999995,281.27,10.22
485,Snowps37,Snowps37/ppo-LunarLander-1.5millsteps,271.04999999999995,283.52,12.47
486,fropych,fropych/LunarLander,271.04,289.16,18.12
487,NeonPigeon,NeonPigeon/TEST2ppo-LunarLander-v2,271.02,289.62,18.6
488,Lew,Lew/PPO-LunarLander-v2_1,271.02,288.87,17.85
489,Lew,Lew/PPO-LunarLander-v2,271.02,288.87,17.85
490,mmolony,mmolony/ppo-LunarLander-v2,271.0,284.62,13.62
491,avoroshilov,avoroshilov/ppo-LunarLander-v2,271.0,288.67,17.67
492,meln1k,meln1k/ppo-LunarLander-v2,270.93,289.26,18.33
493,mchh528,mchh528/unit1-rl-course,270.93,288.12,17.19
494,Lumi1717,Lumi1717/LunarLanderMlP-V2,270.91999999999996,285.28,14.36
495,IvanFlores,IvanFlores/ppo-LunarLander-v2,270.90999999999997,289.78,18.87
496,mike-krk,mike-krk/ppo-LunarLander-v2,270.89,289.33,18.44
497,zhiweiyoung,zhiweiyoung/ppo-LunarLander-v2-promax,270.87,286.48,15.61
498,fireday,fireday/ppo-LunarLander-v2,270.86,291.16,20.3
499,ahmedo,ahmedo/ppo-tuned-lunarlanderv2,270.84999999999997,285.4,14.55
500,DBusAI,DBusAI/ppo-LunarLander-v2,270.84000000000003,290.85,20.01
501,agostini,agostini/ppo-LunarLander-v2,270.8,292.63,21.83
502,NethamTSG,NethamTSG/ppo-LunarLander-v5,270.79,287.98,17.19
503,ajdillhoff,ajdillhoff/ppo-LunarLander-v2-2M,270.78000000000003,282.48,11.7
504,MarcoGr,MarcoGr/ppo-LunarLander-v2,270.76,284.71,13.95
505,mrvincenzo,mrvincenzo/ppo-LunarLander-v2,270.74,291.72,20.98
506,GauthamB,GauthamB/ppo-LunarLander-v2,270.73,290.3,19.57
507,inventwithdean,inventwithdean/ppo-LunarLander-v2,270.72,286.17,15.45
508,Shivraj8615,Shivraj8615/moon_lander,270.72,285.3,14.58
509,Lpremier,Lpremier/ppo-LunarLander-v2,270.7,286.9,16.2
510,JoeBater,JoeBater/ppo-LunarLander-v2,270.7,286.13,15.43
511,saikat3624,saikat3624/ppo-LunarLander-v2,270.69,286.13,15.44
